SM,ST,Temp,Humidity,SR,Rain,PSM
30.8,73.38,81.18,82.18,459.88,0,30.79692
30.86,72.56,82.23,80.92,529.96,0,30.856914
30.88,72.01,83.28,79.05,575.58,0,30.876912
30.88,71.74,83.91,77.44,647.38,0,30.876912
30.87,71.63,84.61,76.13,891.25,0,30.866913
30.87,71.54,85.27,75.65,724.54,0,30.866913
30.89,71.52,85.11,74.17,670.38,0,30.886911
30.9,71.51,85.21,74.29,791.38,0,30.89691
30.93,71.47,86.12,73.94,921.6,0,30.926907
30.96,71.47,86.34,72.85,719.79,0,30.956904
30.99,71.48,86.18,71.55,739.08,0,30.986901
31.02,71.46,86.18,72.24,831.04,0,31.016898
31.04,71.42,86.04,72.04,556.2,0,31.036896
31.09,71.41,85.97,72.28,533.96,0,31.086891
31.11,71.38,86.14,72.72,522.54,0,31.106889
31.12,71.34,86.51,71.95,736.63,0,31.116888
31.14,71.28,86.08,72.82,662.23,0,31.136886
31.15,71.21,86.63,70.7,539.75,0,31.146885
31.15,71.15,78.62,76.44,564.58,0,31.146885
31.17,71.08,76.45,76.65,560.08,0,31.166883
31.19,70.99,81.28,69.55,734.9,0,31.186881
31.18,70.92,85.47,60.72,649.79,0,31.176882
31.16,70.87,78.11,80.95,30.5,0,31.156884
31.15,70.83,71.58,90.52,0,0,31.146885
31.12,70.84,72.59,89.84,156.37,0,31.116888
31.1,70.89,80.84,76.46,658.29,0,31.09689
31.08,71.01,84.64,71.89,605.67,0,31.076892
31.08,71.16,76.45,86.93,7.25,0,31.076892
31.07,71.3,72.13,93.05,0,0,31.066893
31.07,71.42,75.97,90.7,215.29,0,31.066893
31.07,71.48,83.78,76.41,498.08,0,31.066893
31.09,71.55,84.66,73.7,369,0,31.086891
31.09,71.59,75.3,86.06,12.8,0,31.086891
31.11,71.6,68.71,92.67,0.25,0,31.106889
31.12,71.62,74.92,84.96,331.42,0,31.116888
31.12,71.61,83.5,63.28,840.42,0,31.116888
31.12,71.57,83.91,64.65,435.07,0,31.116888
31.13,71.55,72.73,87.66,0,0,31.126887
31.15,71.51,69.11,92.88,1.5,0,31.146885
31.15,71.45,76.04,86.28,299.67,0,31.146885
31.16,71.4,84.92,67.3,592.4,0,31.156884
31.16,71.34,83.72,71.15,264.71,0,31.156884
31.16,71.29,73.25,89,0,0,31.156884
31.14,71.24,68.4,92.86,3.13,0,31.136886
31.13,71.19,78.7,81.2,359.13,0,31.126887
31.1,71.17,87.4,61.4,812.08,0,31.09689
31.08,71.14,85.19,66.59,258.25,0,31.076892
31.06,71.16,73.45,78.81,0,0,31.056894
31.03,71.22,69.56,89.69,27.5,0,31.026897
31.02,71.32,80.45,77.18,554.88,0,31.016898
31.01,71.41,89.72,59.31,834.79,0,31.006899
31.01,71.49,85.66,67.96,213,0,31.006899
31,71.59,74.99,88.5,0,0,30.9969
31.02,71.65,72.56,89.72,54.38,0,31.016898
31.01,71.7,84.31,68.3,594.83,0,31.006899
31.03,71.72,90.45,56.8,822.58,0,31.026897
31.04,71.75,84.6,70.75,135.5,0,31.036896
31.04,71.72,73.39,81.45,0,0.17,31.206896
31.05,71.71,65.6,92.38,33.58,0.01,31.056895
31.05,71.69,72.88,82.12,478.71,0.12,31.166895
31.07,71.67,82.32,58.36,819.1,0,31.066893
31.06,71.62,80.91,68.54,140.63,0,31.056894
31.06,71.59,68.42,90.47,0,0,31.056894
31.06,71.56,64.01,94.2,28,0,31.056894
31.06,71.52,79.68,74.03,616.17,0,31.056894
31.06,71.48,86.95,57.95,692.29,0,31.056894
31.04,71.45,79.1,79.34,29.88,0,31.036896
31.02,71.4,71.38,83.52,0,0.03,31.046898
30.98,71.41,68.44,84.37,91.4,0,30.976902
30.94,71.44,80.01,66.76,660.17,0,30.936906
30.95,71.5,85.24,61.91,541.79,0,30.946905
30.92,71.58,75.05,66.73,79.63,0,30.916908
30.91,71.69,61.79,89.21,0,0,30.906909
30.91,71.79,62.9,90.26,147.25,0,30.906909
30.91,71.88,77.5,64.28,682.25,0,30.906909
30.9,71.95,81.88,58.3,634.38,0,30.89691
30.92,72.01,72.52,75.86,46,0,30.916908
30.92,72.05,63.76,90.84,0,0,30.916908
30.92,72.06,68.07,88.07,176.5,0,30.916908
30.93,72.1,84.3,60.28,695.21,0,30.926907
30.96,72.1,88.53,57.02,578.6,0,30.956904
30.96,72.06,75.78,80.25,2,0,30.956904
30.95,72.04,72.28,86.91,0,0,30.946905
30.96,72.01,73.51,85.97,173.13,0,30.956904
30.96,71.96,84.58,68.22,690.6,0,30.956904
30.94,71.9,78.91,74.1,258,0,30.936906
30.97,71.82,70.96,75.66,2.63,0,30.966903
30.96,71.76,67.51,73.35,0,0,30.956904
30.93,71.66,65.76,84.65,51.17,0.03,30.956907
30.87,71.6,72.03,83.07,459.79,0,30.866913
30.8,71.55,76.33,76.45,254.83,0,30.79692
30.76,71.52,64.71,90.61,0.25,0,30.756924
30.71,71.52,58.54,94.96,3.5,0.02,30.726929
30.69,71.59,68.48,93.78,326.33,0,30.686931
30.68,71.71,83.35,68.8,902.33,0,30.676932
